;text1;code1;index1;text2;code2;index2;cosine_distance;updated_code1;updated_code2
0;Measurement Error;O;506;Measurement Error;L;40;0.0;O;O
1;Viscosity of water;L;625;viscosity of water;O;2553;0.0;L;L
2;measurement errors;O;607;measurement errors;L;2557;0.0;O;O
3;Randomness;P;2588;Randomness;O;2832;0.0;O;O
4;Friction ;L;1261;Friction;O;266;0.0;L;L
5;Measurement error;O;2593;Measurement Error;L;40;0.0;O;O
6;experimental error;O;588;Experimental Error;L;1221;0.0;O;O
7;Randomness;P;2158;Randomness;O;2832;0.0;O;O
8;Experimental error;O;1312;Experimental Error;L;1221;0.0;O;O
9;Measurement error;L;544;Measurement error;O;21;0.0;O;O
10;randomness;P;541;Randomness;O;2832;0.0;O;O
11;random error;L;2145;random error;O;200;0.0;O;O
12;Friction;L;2142;Friction;O;266;0.0;L;L
13;friction;L;516;Friction;O;266;0.0;L;L
14;Randomness;P;511;Randomness;O;2832;0.0;O;O
15;measurement uncertainty;O;628;Measurement uncertainty;L;2626;0.0;O;O
16;initial velocity;L;992;Initial velocity ;O;1064;0.0;L;L
17;Measurement error;L;2122;Measurement error;O;21;0.0;O;O
18;speed;L;1366;Speed;O;1009;0.0;L;L
19;Random error;L;2111;random error;O;200;0.0;O;O
20;friction;L;1406;Friction;O;266;0.0;L;L
21;measurement error;L;412;Measurement error;O;21;0.0;O;O
22;Random error;O;1413;random error;L;1587;0.0;O;O
23;friction;L;1416;Friction;O;266;0.0;L;L
24;measurement errors;O;403;measurement errors;L;2557;0.0;O;O
25;friction;L;1421;Friction;O;266;0.0;L;L
26;speed;O;1434;speed;L;1366;0.0;L;L
27;Air drag ;L;1445;Air drag;O;1762;0.0;L;L
28;mass of ball;L;1999;Mass of ball;O;368;0.0;L;L
29;Mass of ball;O;368;mass of ball;L;1965;0.0;L;L
30;Measurement uncertainty;L;2626;measurement uncertainty;O;628;0.0;O;O
31;friction;L;2125;Friction;O;266;0.0;L;L
32;friction;L;1260;Friction;O;266;0.0;L;L
33;Measurement error ;O;659;Measurement Error;L;40;0.0;O;O
34;measurement errors;O;2563;measurement errors;L;2557;0.0;O;O
35;Speed;O;1009;speed;L;1366;0.0;L;L
36;mass of ball;O;984;mass of ball;L;1965;0.0;L;L
37;speed;O;1010;speed;L;1366;0.0;L;L
38;friction;L;970;Friction;O;266;0.0;L;L
39;friction;L;1050;Friction;O;266;0.0;L;L
40;friction ;L;1062;Friction;O;266;0.0;L;L
41;Initial velocity ;O;1064;initial velocity;L;992;0.0;L;L
42;Initial velocity;L;2305;Initial velocity ;O;1064;0.0;L;L
43;measurement error;L;905;Measurement error;O;21;0.0;O;O
44;Experimental error;O;1104;Experimental Error;L;1221;0.0;O;O
45;Measurement error;O;1109;Measurement Error;L;40;0.0;O;O
46;Random error;O;1125;random error;L;1587;0.0;O;O
47;Friction;L;1130;Friction;O;266;0.0;L;L
48;friction;L;2470;Friction;O;266;0.0;L;L
49;the size of the slit;O;834;the size of the slit;L;2820;0.0;L;L
50;Friction;L;1137;Friction;O;266;0.0;L;L
51;measurement error;O;2242;Measurement Error;L;40;0.0;O;O
52;measurement errors;L;2557;Measurement errors;O;148;0.0;O;O
53;Measurement error;L;2197;Measurement error;O;21;0.0;O;O
54;Experimental Error;L;1221;Experimental error;O;299;0.0;O;O
55;viscosity of water;O;2553;Viscosity of water;L;625;0.0;L;L
56;Measurement error;O;716;Measurement Error;L;40;0.0;O;O
57;Friction;L;1209;Friction;O;266;0.0;L;L
58;mass of ball;L;1965;Mass of ball;O;368;0.0;L;L
59;Friction;L;2220;Friction;O;266;0.0;L;L
60;Randomness;P;2534;Randomness;O;2832;0.0;O;O
61;Random Error;O;741;random error;L;1587;0.0;O;O
62;speed;O;1187;speed;L;1366;0.0;L;L
63;Friction;L;1186;Friction;O;266;0.0;L;L
64;Friction;L;2228;Friction;O;266;0.0;L;L
65;Measurement error;L;2239;Measurement error;O;21;0.0;O;O
66;Random error;O;2548;random error;L;1587;0.0;O;O
67;Random error;O;1520;random error;L;1587;0.0;O;O
68;Friction;L;2344;Friction;O;266;0.0;L;L
69;Measurement error ;L;2831;Measurement error;O;21;0.0;O;O
70;Measurement error;O;21;Measurement Error;L;40;0.0;O;O
71;Friction;L;1635;Friction;O;266;0.0;L;L
72;Measurement Error;L;2676;Measurement error;O;21;0.0;O;O
73;Measurement error;L;2684;Measurement error;O;21;0.0;O;O
74;Measurement error;L;50;Measurement error;O;21;0.0;O;O
75;random error;O;200;random error;L;1587;0.0;O;O
76;friction;L;1720;Friction;O;266;0.0;L;L
77;Measurement error;L;1576;Measurement error;O;21;0.0;O;O
78;Measurement errors;O;148;measurement errors;L;2557;0.0;O;O
79;the size of the slit;L;2820;the size of the slit;O;834;0.0;L;L
80;friction;L;1578;Friction;O;266;0.0;L;L
81;measurement error;O;2640;Measurement Error;L;40;0.0;O;O
82;speed;O;1908;speed;L;1366;0.0;L;L
83;friction;L;1586;Friction;O;266;0.0;L;L
84;Measurement Error;L;40;Measurement error;O;21;0.0;O;O
85;measurement error;L;177;Measurement error;O;21;0.0;O;O
86;random error;L;1587;random error;O;200;0.0;O;O
87;Friction;L;165;Friction;O;266;0.0;L;L
88;friction;L;1727;Friction;O;266;0.0;L;L
89;friction;L;1898;Friction;O;266;0.0;L;L
90;friction;L;1632;Friction;O;266;0.0;L;L
91;Air drag;O;1762;Air drag ;L;1445;0.0;L;L
92;Measurement error;L;1571;Measurement error;O;21;0.0;O;O
93;Friction;L;247;Friction;O;266;0.0;L;L
94;friction ;L;1712;Friction;O;266;0.0;L;L
95;Measurement Error;O;304;Measurement Error;L;40;0.0;O;O
96;friction;L;248;Friction;O;266;0.0;L;L
97;Experimental error;O;299;Experimental Error;L;1221;0.0;O;O
98;Randomness;O;2832;Randomness;P;511;0.0;O;O
99;Measurement errors;O;1530;measurement errors;L;2557;0.0;O;O
100;measurement error;L;1787;Measurement error;O;21;0.0;O;O
101;Measurement error;O;2868;Measurement Error;L;40;0.0;O;O
102;Random Error;O;258;random error;L;1587;0.0;O;O
103;Friction;O;266;Friction;L;165;0.0;L;L
104;Random error;O;2658;random error;L;1587;0.0;O;O
105;friction;L;275;Friction;O;266;0.0;L;L
106;Liouville's theorem;L;814;Liouville's theorem;P;59;1.1102230246251563e-16;P;P
107;Liouville's theorem;P;59;Liouville's theorem;L;814;1.1102230246251563e-16;P;P
108;statistics ;S;991;statistics ;O;2570;1.1102230246251563e-16;S;S
109;statistics ;O;2570;Statistics;S;268;1.1102230246251563e-16;S;S
110;Statistics;S;268;statistics ;O;2570;1.1102230246251563e-16;S;S
111;Systematic errors;L;2566;Systematic errors;O;2311;2.220446049250313e-16;O;O
112;Uncertainty in measurement;L;2175;Uncertainty in measurement;O;1968;2.220446049250313e-16;O;O
113;Random Errors;O;2173;Random errors;L;2610;2.220446049250313e-16;O;O
114;Random Errors;O;2703;Random errors;L;2610;2.220446049250313e-16;O;O
115;random errors;O;1491;Random errors;L;2610;2.220446049250313e-16;O;O
116;Uncertainty in measurement;O;1968;Uncertainty in measurement;L;2175;2.220446049250313e-16;O;O
117;error in measurement ;L;1538;Error in measurement ;O;899;2.220446049250313e-16;O;O
118;Random errors;O;75;Random errors;L;2610;2.220446049250313e-16;O;O
119;Random chance;L;1103;Random Chance;O;1198;2.220446049250313e-16;P;P
120;Uncertainty in measurement;L;2341;Uncertainty in measurement;O;1968;2.220446049250313e-16;O;O
121;Error in measurement;L;195;Error in measurement ;O;899;2.220446049250313e-16;O;O
122;Error in measurement;L;197;Error in measurement ;O;899;2.220446049250313e-16;O;O
123;Random errors;O;520;Random errors;L;2610;2.220446049250313e-16;O;O
124;Systematic errors;O;2311;Systematic errors;L;2566;2.220446049250313e-16;O;O
125;Random errors;L;2610;Random errors;O;75;2.220446049250313e-16;O;O
126;Error in measurement ;O;899;Error in measurement;L;195;2.220446049250313e-16;O;O
127;Random errors;O;2414;Random errors;L;2610;2.220446049250313e-16;O;O
128;Random Chance;O;1198;Random chance;L;1103;2.220446049250313e-16;P;P
129;Error in measurement;O;2519;Error in measurement;L;195;2.220446049250313e-16;O;O
130;Random Errors;O;2078;Random errors;L;2610;2.220446049250313e-16;O;O
131;error in measurement;L;366;Error in measurement ;O;899;2.220446049250313e-16;O;O
132;Uncertainty in measurement;O;2569;Uncertainty in measurement;L;2175;2.220446049250313e-16;O;O
133;Measurement error. ;O;2152;Measurement error.;L;1735;3.9013237085328e-13;O;O
134;Measurement error.;L;1735;Measurement error. ;O;2152;3.9013237085328e-13;O;O
135;measurement errors;L;1070;Measurement errors;O;148;4.21995771660022e-13;O;O
136;measurement errors;L;2288;Measurement errors;O;148;4.21995771660022e-13;O;O
137;Experimental error ;O;714;Experimental Error;L;1221;4.4142467459096234e-13;O;O
138;Experimental error;O;1113;Experimental Error;L;1221;4.4142467459096234e-13;O;O
139;Initial velocity;L;1233;Initial velocity ;O;1064;4.674038933671909e-13;L;L
140;initial velocity;L;1715;Initial velocity ;O;1064;4.674038933671909e-13;L;L
141;Speed;L;1302;Speed;O;1009;4.861666624833559e-13;L;L
142;temperature;L;1938;temperature;P;505;5.269118474870993e-13;L;L
143;temperature;L;1200;temperature;P;505;5.269118474870993e-13;L;L
144;temperature;P;505;temperature;L;1200;5.269118474870993e-13;L;L
145;measurement error ;L;567;Measurement error;O;21;5.307976280732873e-13;O;O
146;Width of the slit ;L;811;Width of slit;P;854;0.0060965760773138;L;L
147;Width of slit;P;854;Width of the slit ;L;811;0.0060965760773138;L;L
148;mass of the ball;L;160;Mass of ball;O;368;0.0095117678346126;L;L
149;Mass of the ball;L;292;Mass of ball;O;368;0.0095117779682444;L;L
150;force of the ball ;L;1358;the force of the ball;O;1685;0.0103795832370426;L;L
151;the force of the ball;O;1685;force of the ball ;L;1358;0.0103795832370426;L;L
152;The width of the slit;P;898;Width of the slit ;L;811;0.0106371518926452;L;L
153;Uncertainty in measurements ;O;2375;Uncertainty in measurement;L;2175;0.011003879855709;O;O
154;Uncertainty in measurements;O;2713;Uncertainty in measurement;L;2175;0.011003879855709;O;O
155;Uncertainty in measurements;O;2598;Uncertainty in measurement;L;2175;0.011003879855709;O;O
156;Size of the slit;L;849;the size of the slit;O;834;0.0113781468865937;L;L
157;The distance from the slit to the screen;P;918;Distance between the slit and the screen;L;917;0.017727393074445;L;L
158;Distance between the slit and the screen;L;917;The distance from the slit to the screen;P;918;0.017727393074445;L;L
159;Error in measurement.;L;238;Error in measurement ;O;899;0.0185448250860746;O;O
160;Distance from slit to screen;P;893;Distance between the slit and the screen;L;917;0.0191851098468256;L;L
161;Measurement error, ;L;60;Measurement error;O;21;0.0194178887304488;O;O
162;Error in measurements;L;1821;Error in measurement ;O;899;0.0203094136346568;O;O
163;Random error, ;O;515;random error;L;1587;0.0221950470097125;O;O
164;Imprecision of measurement;O;2195;Imprecision of measurements;L;2171;0.0227773495437108;L;L
165;Imprecision of measurements;L;2171;Imprecision of measurement;O;2195;0.0227773495437108;L;L
166;Uncertainty in measuring;L;2189;Uncertainty in measurement;O;1968;0.0231976121218915;O;O
167;the initial velocity;L;1954;Initial velocity ;O;1064;0.0245049013846783;L;L
168;Measurement imprecision ;O;866;Imprecision of measurements;L;2171;0.0254455120696545;L;L
169;velocity ;O;1340;*velocity;L;1676;0.0262171035508631;L;L
170;*velocity;L;1676;velocity ;O;1340;0.0262171035508631;L;L
171;Velocity;O;1979;*velocity;L;1676;0.0262171035508631;L;L
172;Weight of ball;L;1886;Weight of ball?;O;1909;0.0279820985639502;L;L
173;Weight of ball?;O;1909;Weight of ball;L;1886;0.0279820985639502;L;L
174;Measurement uncertainties in d;L;2387;Measurement uncertainty of d;O;2597;0.0285337937032719;O;O
175;Measurement uncertainty of d;O;2597;Measurement uncertainties in d;L;2387;0.0285337937032719;O;O
176;force applied on the ball;L;1651;the force of the ball;O;1685;0.0301382457368117;L;L
177;Shape of ball;L;1681;Shape and size of the ball;O;2005;0.0333510954577493;L;L
178;Shape and size of the ball;O;2005;Shape of ball;L;1681;0.0333510954577493;L;L
179;Measurement imprecision, ;O;2183;Imprecision of measurements;L;2171;0.0339736349355216;L;L
180;Uncertainties in measurements;O;555;Uncertainty in measurement;L;2175;0.0350227290712861;O;O
181;precision of measurement;O;53;Measurement Precision;L;1878;0.0353016057218223;L;L
182;Measurement Precision;L;1878;precision of measurement;O;53;0.0353016057218223;L;L
183;Random fluctuations;P;499;various random fluctuations;L;2636;0.0355665145256585;P;P
184;various random fluctuations;L;2636;Random fluctuations;P;499;0.0355665145256585;P;P
185;Error due to measurement;L;684;Error in measurement ;O;899;0.0355741221120825;O;O
186;friction, ;L;2211;Friction;O;266;0.0359890718780294;L;L
187;friction, ;L;1598;Friction;O;266;0.0359890718780294;L;L
188;Precision of measurements;O;1800;Measurement Precision;L;1878;0.0363446822019833;L;L
189;shape of the ball;L;1386;Shape and size of the ball;O;2005;0.036502411573173;L;L
190;precision in the measurements;L;469;Precision of measurements;O;1800;0.0366740462886368;L;L
191;Systematic error;O;2661;Systematic errors;L;2566;0.0367403852984327;O;O
192;Systematic error;O;691;Systematic errors;L;2566;0.0367403852984327;O;O
193;Systematic Error;O;122;Systematic errors;L;2566;0.0367403852984327;O;O
194;Differing methods of measurement;L;2260;Different means of measurement ;O;1147;0.0376807216608899;L;L
195;Different means of measurement ;O;1147;Differing methods of measurement;L;2260;0.0376807216608899;L;L
196;Imprecise Measurement;L;1149;Measurement imprecision ;O;866;0.0385303876832272;L;L
197;Experimental errors;O;2333;Experimental Error;L;1221;0.0409049341207418;O;O
198;Different wavelengths;L;865;Differences in wavelengths;O;2827;0.0413320336989129;L;L
199;Differences in wavelengths;O;2827;Different wavelengths;L;865;0.0413320336989129;L;L
200;where ball was placed on ramp;O;1569;Where precisely the ball is placed on the ramp;L;1826;0.0415305163580804;L;L
201;Where precisely the ball is placed on the ramp;L;1826;where ball was placed on ramp;O;1569;0.0415305163580804;L;L
202;error in measuring distance;L;1068;Inaccuracy in measuring distance;O;1935;0.041664651314962;L;L
203;Error in Measuring Distance;L;1590;Inaccuracy in measuring distance;O;1935;0.041664651314962;L;L
204;Inaccuracy in measuring distance;O;1935;error in measuring distance;L;1068;0.041664651314962;L;L
205;Error in measuring distance;L;1479;Inaccuracy in measuring distance;O;1935;0.041664651314962;L;L
206;Variations in measuring;L;385;Variation in measurement ;O;2606;0.0420098973890522;O;O
207;Variation in measurement ;O;2606;Variations in measuring;L;385;0.0420098973890522;O;O
208;Incorrect or inproper measurement of distance;L;100;Inaccuracy in measuring distance;O;1935;0.0428039463472594;L;L
209;imperfect measurement of distance;L;1116;Inaccuracy in measuring distance;O;1935;0.0441168912390684;L;L
210;force being pushed onto the ball;L;1270;the force of the ball;O;1685;0.0464113755747946;L;L
211;How the measure the particles ;O;2663;Measurement used to measure particles;L;780;0.0465852671511279;L;L
212;Measurement used to measure particles;L;780;How the measure the particles ;O;2663;0.0465852671511279;L;L
213;Uncertainty due to measurements ;O;2164;Measurement uncertainty;L;2626;0.0487822962030105;O;O
214;Limited measuring precision. ;O;445;Limited precision of measurements;L;1465;0.049478407469532;L;L
215;Limited precision of measurements;L;1465;Limited measuring precision. ;O;445;0.049478407469532;L;L
216;inaccurate measurements of distance;L;1776;Inaccuracy in measuring distance;O;1935;0.0496066241307768;L;L
217;error in measuring the distance;L;2254;Inaccuracy in measuring distance;O;1935;0.0529034159331799;L;L
218;Uncertainty in the measurement/reading of d;L;2340;Measurement uncertainty of d;O;2597;0.0536974250526244;L;O
219;placing of the ball on the ramp;L;10;where ball was placed on ramp;O;1569;0.0548022139905488;L;L
220;small sample size;L;2654;Low sample size;O;1163;0.055049366789566;S;S
221;Low sample size;O;1163;small sample size;L;2654;0.055049366789566;S;S
222;different mass of ball;L;1348;Mass of ball;O;368;0.0555484745416378;L;L
223;Inaccuracy of measurement;L;2602;Error in measurement ;O;899;0.0576728247050694;L;O
224;Inaccuracy of measurement;L;1655;Error in measurement ;O;899;0.0576728247050694;L;O
225;Precision of measurement techniques;L;2108;Precision of measurements;O;1800;0.057971184216879;L;L
226;particles,;O;364;different particles;L;2556;0.0594021568416736;O;L
227;different particles;L;2556;particles,;O;364;0.0594021568416736;L;O
228;Inaccuracy in measurement error;L;700;Measurement errors;O;148;0.0596357953777934;L;O
229;Each of the students could place the ball at a different point on the ramp.;L;1308;majority of the student are able to place the ball in the same location on the ramp;O;157;0.0603442831863535;L;L
230;majority of the student are able to place the ball in the same location on the ramp;O;157;Each of the students could place the ball at a different point on the ramp.;L;1308;0.0603442831863535;L;L
231;the mass distribution of the ball;L;241;Mass of ball;O;368;0.0606176701815232;L;L
232;size and weight of ball;L;1701;Weight of ball?;O;1909;0.0617242175360452;L;L
233;Measuring the distance wrong;L;1379;Inaccuracy in measuring distance;O;1935;0.061819672556912;L;L
234;measurement uncertainty/error;L;119;measurement uncertainty;O;628;0.0619189652359467;O;O
235;Imprecise measurements;L;2123;Measurement imprecision ;O;866;0.0628109952982467;L;L
236;incorrectly measuring the distance;L;1528;Inaccuracy in measuring distance;O;1935;0.0643348304736921;L;L
237;measuring error;O;1111;Measurement Error;L;40;0.064446147997444;O;O
238;distance measured not accurate;L;2615;Inaccuracy in measuring distance;O;1935;0.0663243821832419;L;L
239;measurement accuracy;O;1527;accuracy of measurement devices;L;2286;0.066497435335826;L;L
240;accuracy of measurement devices;L;2603;measurement accuracy;O;1527;0.066497435335826;L;L
241;accuracy of measurement devices;L;2286;measurement accuracy;O;1527;0.066497435335826;L;L
242;User error in measurement;L;868;Error in measurement ;O;899;0.0674228108039861;L;O
243;Measurement error/uncertainty;L;2433;Measurement error;O;21;0.0686988853786089;O;O
244;measurement error of d;L;2594;Measurement uncertainty of d;O;2597;0.0695065955060455;O;O
245;differences in measuring apparatus;L;2466;Different means of measurement ;O;1147;0.0695135820447012;L;L
246;varying masses of ball;L;1679;Mass of ball;O;368;0.0695522678962683;L;L
247;possible initial velocity ;L;316;Initial velocity ;O;1064;0.069867393023844;L;L
248;measurement inaccuracy;L;400;Measurement imprecision ;O;866;0.0700330593046949;L;L
249;Measurement inaccuracy;L;374;Measurement imprecision ;O;866;0.0700330593046949;L;L
250;inaccuracy in measurements;L;1040;Imprecision of measurement;O;2195;0.0707459705914383;L;L
251;Random uncertainty in measurements;O;1052;Measurement uncertainty;L;2626;0.0721965754334706;O;O
252;Error in Measuring devices used;L;1838;Error in measurement ;O;899;0.0741730858834104;L;O
253;particles move randomly;O;2719;Random movement of the particle;P;2639;0.0747589937616063;P;P
254;Random movement of the particle;P;2639;particles move randomly;O;2719;0.0747589937616063;P;P
255;imprecision of measurement tools;L;183;Imprecision of measurement;O;2195;0.0757897786689261;L;L
256;experimental uncertainty/error;O;362;Experimental uncertainties;L;656;0.0763189160777837;O;O
257;Experimental uncertainties;L;656;experimental uncertainty/error;O;362;0.0763189160777837;O;O
258;Uncertainty in experimental apparatus;L;2780;Uncertainty due to performing the experiment ;O;1475;0.0763663883984158;O;L
259;Uncertainty due to performing the experiment ;O;1475;Uncertainty in experimental apparatus;L;2780;0.0763663883984158;L;O
260;inaccuracy in measurements.;L;1692;Imprecision of measurement;O;2195;0.0769897273098747;L;L
261;Students may be placing the ball at slightly different heights on the ramp, ;L;2093;majority of the student are able to place the ball in the same location on the ramp;O;157;0.0771320819427721;L;L
262;Random errors in experiments ;O;1193;random errors in the execution of the experiment;L;91;0.0774049336167559;O;O
263;random errors in the execution of the experiment;L;91;Random errors in experiments ;O;1193;0.0774049336167559;O;O
264;Differences in measuring tools;L;604;Different means of measurement ;O;1147;0.0782010621821565;L;L
265;Measurement error (instrumental precision).;L;1764;Measurement error. ;O;2152;0.0782163783401912;L;O
266;Statistical error from measurement;S;2200;measurement error ;L;567;0.0791144485477916;S;O
267;differently sized ball;L;193;Shape and size of the ball;O;2005;0.07937582035791;L;L
268;different measurement tools, and different precision;L;662;Different means of measurement ;O;1147;0.0794462057283262;L;L
269;Imperfections in measuring the distance travelled;L;503;Inaccuracy in measuring distance;O;1935;0.0795861846751407;L;L
270;uncertainty ;O;1161;Uncertainties ;L;15;0.0800189187617217;O;O
271;Uncertainties ;L;15;uncertainty ;O;1161;0.0800189187617217;O;O
272;Uncertainty ;O;1165;Uncertainties ;L;15;0.0800189187617217;O;O
273;Human error (incorrect measuring);L;654;Error in measurement ;O;899;0.0828160020120921;L;O
274;interference;L;821;Possible interference;P;2813;0.0846232093816312;P;P
275;Possible interference;P;2813;interference;L;821;0.0846232093816312;P;P
276;Impulse given to the ball;L;927;the force of the ball;O;1685;0.0860653422001165;L;L
277;Random variation.;O;1067;Random statistical variation;S;785;0.0862049731304516;O;S
278;Random statistical variation;S;785;Random variation.;O;1067;0.0862049731304516;S;O
279;random measurement error;L;2393;Random uncertainty in measurements;O;1052;0.086209601038194;O;O
280;small differences in each trial causes different values;L;2137;small variation in trials;O;1118;0.0869894555241089;O;O
281;small variation in trials;O;1118;small differences in each trial causes different values;L;2137;0.0869894555241089;O;O
282;Students released the ball from different points on the ramp;L;479;majority of the student are able to place the ball in the same location on the ramp;O;157;0.0875794620433998;L;L
